min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,doc_assignment_pct,number_of_topics,model_name
10,5,10,0.5823874038813621,0.3385639679445392,0.6378378378378379,551,mpnet
10,5,20,0.6058344640434192,0.3396218548126023,0.6139517896274653,446,mpnet
10,5,30,0.6145141451414514,0.3442052376095222,0.5957146335524713,409,mpnet
10,5,40,0.6174690870823467,0.338843260671043,0.5640370099829559,383,mpnet
10,7,10,0.5830465495381272,0.3402630848682558,0.6329437545653762,558,mpnet
10,7,20,0.6012699802934093,0.3400340851846052,0.593791088385683,459,mpnet
10,7,30,0.6206984450675503,0.3449057975682269,0.5956659362064768,396,mpnet
10,7,40,0.6099015033696216,0.3422835479338768,0.5551984416849282,391,mpnet
10,10,10,0.5781700288184438,0.3379576599446166,0.6309958607255904,560,mpnet
10,10,20,0.6113207547169811,0.3376379655590616,0.6008278548819089,453,mpnet
10,10,30,0.6045024302890765,0.3433414887740199,0.5768444119795472,395,mpnet
10,10,40,0.6178973373593193,0.3422623821308488,0.5647431214998783,368,mpnet
10,15,10,0.5728862973760933,0.3394828001773156,0.6374726077428781,555,mpnet
10,15,20,0.6020857473928157,0.3373106850594207,0.6393718042366691,435,mpnet
10,15,30,0.6044921875,0.3491550883708469,0.5749452154857561,414,mpnet
10,15,40,0.6180165731087944,0.3415287593212978,0.5628195763330899,379,mpnet
15,5,10,0.6242534406647624,0.3460765667322609,0.6477233990747504,387,mpnet
15,5,20,0.6378727328619735,0.3441594564748454,0.6195519844168493,327,mpnet
15,5,30,0.6410084033613446,0.3491450182442788,0.5842220598977356,299,mpnet
15,5,40,0.6446311176040905,0.351244794141673,0.573654735816898,274,mpnet
40,7,10,0.6645569620253164,0.378987076261292,0.620672023374726,158,mpnet
40,7,20,0.6712230215827338,0.3770347802649822,0.6148283418553688,139,mpnet
40,7,30,0.6730769230769231,0.382899397530843,0.6079133187241296,130,mpnet
40,7,40,0.6848,0.3774751008508141,0.6089359629900171,125,mpnet
40,10,10,0.6823529411764706,0.3712854413619907,0.6269052836620405,153,mpnet
40,10,20,0.6742424242424242,0.3769820389745421,0.6276357438519601,132,mpnet
40,10,30,0.6793893129770993,0.378283354186302,0.604236669101534,131,mpnet
40,10,40,0.68515625,0.3788653411210427,0.6058436815193572,128,mpnet
40,15,10,0.6662337662337663,0.3748979623699849,0.6211102994886779,154,mpnet
40,15,20,0.6816176470588236,0.3776189697163642,0.6049671292914536,136,mpnet
40,15,30,0.6755905511811023,0.379709639321051,0.5996591185780374,127,mpnet
40,15,40,0.6852459016393443,0.3769260041453016,0.6177745312880448,122,mpnet
